3,5,14,20,5,18,0,0,0,0,0,0,0,0,0,0
7,5,19,3,8,9,3,11,12,9,3,8,11,5,9,20
19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,19,20,1,0,0,0,0,0,0,0,0,0,0,0
16,5,18,8,1,16,19,0,0,0,0,0,0,0,0,0
4,9,5,19,0,0,0,0,0,0,0,0,0,0,0,0
4,5,19,7,1,19,20,5,0,0,0,0,0,0,0,0
16,21,14,11,20,0,0,0,0,0,0,0,0,0,0,0
19,25,13,2,15,12,0,0,0,0,0,0,0,0,0,0
16,12,1,26,1,0,0,0,0,0,0,0,0,0,0,0
13,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,16,15,19,1,0,0,0,0,0,0,0,0,0,0
19,12,1,22,0,0,0,0,0,0,0,0,0,0,0,0
16,12,21,18,1,12,5,19,0,0,0,0,0,0,0,0
15,3,11,19,35,0,0,0,0,0,0,0,0,0,0,0
12,1,19,19,5,14,0,0,0,0,0,0,0,0,0,0
8,5,3,8,15,0,0,0,0,0,0,0,0,0,0,0
18,9,14,7,0,0,0,0,0,0,0,0,0,0,0,0
8,15,3,8,0,0,0,0,0,0,0,0,0,0,0,0
19,21,18,5,0,0,0,0,0,0,0,0,0,0,0,0
2,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0
12,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5,14,20,1,0,0,0,0,0,0,0,0,0,0,0
13,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,20,18,1,18,0,0,0,0,0,0,0,0,0,0
1,21,3,8,0,0,0,0,0,0,0,0,0,0,0,0
10,5,20,26,20,0,0,0,0,0,0,0,0,0,0,0
15,18,9,7,9,14,1,12,0,0,0,0,0,0,0,0
3,18,5,3,5,18,0,0,0,0,0,0,0,0,0,0
20,8,9,18,4,0,0,0,0,0,0,0,0,0,0,0
6,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,22,9,19,1,0,0,0,0,0,0,0,0,0,0
19,11,25,4,4,1,0,0,0,0,0,0,0,0,0,0
3,18,15,19,19,0,0,0,0,0,0,0,0,0,0,0
5,24,20,18,1,32,15,0,0,0,0,0,0,0,0,0
15,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,4,18,1,0,0,0,0,0,0,0,0,0,0,0
18,5,1,3,8,0,0,0,0,0,0,0,0,0,0,0
6,18,1,7,5,14,0,0,0,0,0,0,0,0,0,0
6,21,5,7,15,0,0,0,0,0,0,0,0,0,0,0
2,18,9,14,7,0,0,0,0,0,0,0,0,0,0,0
5,14,8,5,20,0,0,0,0,0,0,0,0,0,0,0
22,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,9,5,7,5,14,0,0,0,0,0,0,0,0,0
14,34,18,1,0,0,0,0,0,0,0,0,0,0,0,0
16,5,14,19,1,18,0,0,0,0,0,0,0,0,0,0
28,19,20,15,19,0,0,0,0,0,0,0,0,0,0,0
4,18,36,13,0,0,0,0,0,0,0,0,0,0,0,0
6,1,13,9,12,10,0,0,0,0,0,0,0,0,0,0
19,9,7,14,15,0,0,0,0,0,0,0,0,0,0,0
